Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Manufacturer,,Platform,Manufacturerid
Razor Freestyle Scooter,PS,1999,Sports,Ubisoft,0.26,0.17,0,0.03,0.46,65,11,tbd,,Shaba Games,E,Sony,,,
Disney's Kim Possible 3: Team Possible,GBA,2005,Platform,Disney Interactive Studios,0.33,0.12,0,0.01,0.46,76,6,7.7,6,Artificial Mind and Movement,E,Nintendo,,,
Rygar: The Legendary Adventure,PS2,2002,Action,Wanadoo,0.2,0.15,0.06,0.05,0.46,83,30,8.4,14,Tecmo,T,Sony,,,
Syphon Filter: Logan's Shadow,PSP,2007,Shooter,Sony Computer Entertainment,0.25,0.12,0,0.09,0.46,85,41,8.8,47,Sony Bend,T,Sony,,,
Super Batter Up,SNES,1992,Sports,Namco Bandai Games,0,0,0.46,0,0.46,,,,,,,Nintendo,,,
Kessen II,PS2,2001,Strategy,THQ,0.13,0.1,0.2,0.03,0.46,71,15,8.3,22,Koei,T,Sony,,,
Crayon Shin-Chan: Arashi o Yobu Enji,SNES,1993,Platform,Namco Bandai Games,0,0,0.46,0,0.46,,,,,,,Nintendo,,,
Stuart Little 2,GBA,2002,Platform,Activision,0.33,0.12,0,0.01,0.46,59,10,tbd,,Creations,E,Nintendo,,,
Tak 2: The Staff of Dreams,GBA,2004,Platform,THQ,0.33,0.12,0,0.01,0.46,45,5,tbd,,Avalanche Software,E,Nintendo,,,
SingStar Amped,PS2,2007,Misc,Sony Computer Entertainment,0.23,0.18,0,0.06,0.46,76,20,tbd,,SCEE London Studio,T,Sony,,,
Brothers In Arms: Earned in Blood,PS2,2005,Shooter,Ubisoft,0.38,0.01,0,0.06,0.46,71,20,7.9,23,Gearbox Software,M,Sony,,,
The Evil Within,X360,2014,Action,Bethesda Softworks,0.25,0.16,0.01,0.04,0.46,,,7.6,172,Tango Gameworks,M,Microsoft,,,
Dragon Ball Z: Sagas,PS2,2005,Fighting,Atari,0.38,0.01,0,0.06,0.46,49,13,5.4,29,Avalanche Software,T,Sony,,,
Scooby-Doo,GBA,2001,Platform,THQ,0.33,0.12,0,0.01,0.46,64,5,tbd,,Helixe,E,Nintendo,,,
MX vs. ATV: Alive,PS3,2011,Racing,THQ,0.24,0.15,0,0.07,0.46,61,41,6.7,11,THQ Digital Studio Phoenix,E,Sony,,,
Hydro Thunder,PS,1999,Racing,Midway Games,0.26,0.17,0,0.03,0.46,,,,,,,Sony,,,
NHL FaceOff '97,PS,1996,Sports,Sony Computer Entertainment,0.26,0.17,0,0.03,0.46,,,,,,,Sony,,,
Thief (2014),XOne,2014,Action,Square Enix,0.26,0.15,0,0.04,0.46,,,,,,,Microsoft,,,
The Walking Dead: Season One,PS4,2014,Adventure,Telltale Games,0.12,0.25,0.02,0.07,0.46,,,,,,,Sony,,,
NBA Live 07,X360,2006,Sports,Electronic Arts,0.42,0,0,0.04,0.46,59,32,4.9,60,EA Sports,E,Microsoft,,,
Brothers In Arms: Road to Hill 30,PS2,2005,Shooter,Ubisoft,0.38,0.01,0,0.06,0.46,82,30,7.6,30,Gearbox Software,M,Sony,,,
The Legend of Spyro: Dawn of the Dragon,DS,2008,Platform,Vivendi Games,0.26,0.15,0,0.05,0.46,57,9,6.8,10,Etranges Libellules,E,Nintendo,,,
Gremlins,2600,1983,Action,Atari,0.43,0.03,0,0,0.46,,,,,,,Atari,,,
The Mark of Kri,PS2,2002,Action,Sony Computer Entertainment,0.22,0.18,0,0.06,0.46,80,37,7.9,29,SCEA,M,Sony,,,
Need for Speed: Hot Pursuit,Wii,2010,Racing,Electronic Arts,0.17,0.23,0,0.05,0.46,50,8,3.7,18,Exient Entertainment,E10+,Nintendo,,,
Jampack Winter 2003 (RP-M),PS2,2003,Misc,Sony Computer Entertainment,0.22,0.18,0,0.06,0.46,,,,,,,Sony,,,
Rugrats: Castle Capers,GBA,2001,Action,THQ,0.33,0.12,0,0.01,0.46,,,,,,,Nintendo,,,
Crash Nitro Kart,GBA,2003,Racing,Vivendi Games,0.33,0.12,0,0.01,0.46,77,6,8.3,12,Vicarious Visions,E,Nintendo,,,
Crayola: Treasure Adventures,DS,2007,Puzzle,Ignition Entertainment,0.42,0.01,0,0.03,0.46,65,14,tbd,,Crave,E,Nintendo,,,
LEGO The Hobbit,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.12,0.27,0,0.07,0.46,,,7,10,TT Games,E10+,Sony,,,
Silent Hill: Downpour,PS3,2012,Action,Konami Digital Entertainment,0.21,0.15,0.04,0.06,0.46,64,41,6.9,262,Vatra,M,Sony,,,
Mega Man Star Force 3: Black Ace / Red Joker,DS,2008,Action,Capcom,0.22,0,0.22,0.02,0.46,,,,,,,Nintendo,,,
WWE SmackDown vs. Raw 2011,Wii,2010,Fighting,THQ,0.29,0.13,0,0.04,0.46,72,7,tbd,,Yuke's,T,Nintendo,,,
Jak and Daxter: The Lost Frontier,PS2,2009,Platform,Sony Computer Entertainment,0.22,0.17,0,0.06,0.46,72,8,4.6,32,High Impact Games,E10+,Sony,,,
Momotarou Dentetsu 11,PS2,2002,Misc,Hudson Soft,0,0,0.46,0,0.46,,,,,,,Sony,,,
Disney Infinity 3.0,WiiU,2015,Action,Disney Interactive Studios,0.21,0.21,0,0.04,0.46,,,,,,,Nintendo,,,
The Sims 3: Outdoor Living Stuff,PC,2011,Simulation,Electronic Arts,0,0.38,0,0.08,0.46,,,5.6,17,The Sims Studio,T,PC,,,
Star Wars: Demolition,PS,2000,Racing,Activision,0.25,0.17,0,0.03,0.46,63,11,6.5,6,"Luxoflux, Inc.",T,Sony,,,
Bloody Roar II,PS,1999,Fighting,Virgin Interactive,0.25,0.17,0,0.03,0.46,,,,,,,Sony,,,
Delta Force: Black Hawk Down,PS2,2005,Shooter,NovaLogic,0.22,0.17,0,0.06,0.46,58,25,8.8,51,Rebellion,T,Sony,,,
The Princess and the Frog,Wii,2009,Platform,Disney Interactive Studios,0.29,0.13,0,0.04,0.46,,,tbd,,Griptonite Games,E,Nintendo,,,
Space Invaders,SNES,1994,Shooter,Taito,0,0,0.46,0,0.46,,,,,,,Nintendo,,,
.hack//Outbreak Part 3,PS2,2002,Role-Playing,Atari,0.14,0.11,0.17,0.04,0.46,70,23,8.7,19,CyberConnect2,T,Sony,,,
Mother 1+2,GBA,2003,Role-Playing,Nintendo,0,0,0.45,0.01,0.46,,,,,,,Nintendo,,,
MX vs. ATV Untamed,PS3,2007,Racing,THQ,0.35,0.06,0,0.05,0.46,67,33,6.1,8,Rainbow Studios,E,Sony,,,
Boom Blox Bash Party,Wii,2009,Puzzle,Electronic Arts,0.33,0.09,0,0.04,0.46,86,48,8.4,37,EA LA,E,Nintendo,,,
Top Spin,XB,2003,Sports,Microsoft Game Studios,0.36,0.08,0,0.02,0.46,89,44,8.2,31,Pam Development,E,Microsoft,,,
Brothers In Arms: D-Day,PSP,2006,Shooter,Ubisoft,0.23,0.14,0,0.09,0.46,65,19,9.1,64,Ubisoft Shanghai,M,Sony,,,
Warhawk,PS,1995,Simulation,Sony Computer Entertainment,0.25,0.17,0,0.03,0.46,,,,,,,Sony,,,
The Golden Compass,X360,2007,Action,Sega,0.3,0.12,0,0.04,0.46,41,25,4.1,14,Shiny Entertainment,E10+,Microsoft,,,
Tomb Raider: Legend,PSP,2006,Action,Eidos Interactive,0.09,0.24,0,0.12,0.46,67,28,7.9,30,Buzz Monkey,T,Sony,,,
Just Dance 2014,XOne,2013,Misc,Ubisoft,0.3,0.11,0,0.04,0.45,71,6,7,58,Ubisoft,E10+,Microsoft,,,
Tales of Vesperia,PS3,2009,Role-Playing,Namco Bandai Games,0,0,0.45,0,0.45,,,,,Bandai Namco Games,,Sony,,,
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,GBA,2005,Platform,THQ,0.33,0.12,0,0.01,0.45,,,,,,,Nintendo,,,
Dora The Explorer: Dora Saves the Snow Princess,DS,2008,Platform,Take-Two Interactive,0.26,0.15,0,0.03,0.45,,,,,,,Nintendo,,,
Missile Command,PS,1999,Shooter,Atari,0.25,0.17,0,0.03,0.45,,,,,,,Sony,,,
FIFA 15,3DS,2014,Sports,Electronic Arts,0.09,0.34,0,0.03,0.45,,,2.4,35,EA Sports,E,Nintendo,,,
Jikkyou Powerful Pro Yakyuu 3,SNES,1996,Sports,Konami Digital Entertainment,0,0,0.45,0,0.45,,,,,,,Nintendo,,,
Jikkyou Powerful Pro Yakyuu 12,PS2,2005,Sports,Konami Digital Entertainment,0,0,0.45,0,0.45,,,,,,,Sony,,,
Enter the Matrix,GC,2003,Action,Atari,0.34,0.09,0.02,0.01,0.45,63,23,8,45,Shiny Entertainment,T,Nintendo,,,
LEGO The Hobbit,X360,2014,Action,Warner Bros. Interactive Entertainment,0.2,0.21,0,0.04,0.45,70,4,8.7,11,TT Games,E10+,Microsoft,,,
NASCAR 2005: Chase for the Cup,XB,2004,Racing,Electronic Arts,0.34,0.1,0,0.02,0.45,86,16,tbd,,EA Tiburon,E,Microsoft,,,
J-League Excite Stage '95,SNES,1995,Sports,Epoch,0,0,0.45,0,0.45,,,,,,,Nintendo,,,
Vin Diesel: Wheelman,X360,2009,Racing,Ubisoft,0.24,0.17,0,0.05,0.45,,,,,,,Microsoft,,,
NHL 15,X360,2014,Sports,Electronic Arts,0.35,0.05,0,0.05,0.45,,,2.8,47,EA Sports,E10+,Microsoft,,,
Phantasy Star Online Episode I & II,GC,2002,Role-Playing,Infogrames,0.23,0.06,0.16,0.01,0.45,,,,,,,Nintendo,,,
PlayStation All-Stars Battle Royale,PSV,2012,Action,Sony Computer Entertainment,0.21,0.14,0.01,0.09,0.45,75,15,7.5,221,Bluepoint Games,T,Sony,,,
The Powerpuff Girls: Relish Rampage,PS2,2002,Action,BAM! Entertainment,0.22,0.17,0,0.06,0.45,46,5,6.8,5,VIS Entertainment,E,Sony,,,
Bleach: The Blade of Fate,DS,2006,Fighting,Sega,0.29,0.01,0.12,0.03,0.45,83,32,7.5,23,Treasure,T,Nintendo,,,
American Girl: Kit Mystery Challenge!,DS,2008,Adventure,THQ,0.42,0,0,0.03,0.45,,,tbd,,Webfoot Technologies,E,Nintendo,,,
Country Dance 2,Wii,2011,Misc,GameMill Entertainment,0.43,0,0,0.03,0.45,,,tbd,,High Voltage Software,E10+,Nintendo,,,
The Chronicles of Riddick: Escape from Butcher Bay,XB,N/A,Shooter,Vivendi Games,0.32,0.11,0,0.02,0.45,89,84,8.9,85,Starbreeze,M,Microsoft,,,
NFL Head Coach,PS2,2006,Sports,Electronic Arts,0.38,0.01,0,0.06,0.45,66,22,6.9,15,EA Tiburon,E,Sony,,,
Ghostbusters,2600,1985,Puzzle,Activision,0.42,0.03,0,0,0.45,,,,,,,Atari,,,
Nickelodeon Team Umizoomi,DS,2011,Action,Take-Two Interactive,0.42,0,0,0.03,0.45,,,tbd,,Black Lantern Studios,EC,Nintendo,,,
NCAA Gamebreaker 99,PS,1998,Sports,989 Studios,0.25,0.17,0,0.03,0.45,,,,,,,Sony,,,
Tomb Raider: Underworld,Wii,2008,Action,Eidos Interactive,0.13,0.27,0,0.05,0.45,70,12,7.2,20,Crystal Dynamics,T,Nintendo,,,
Area 51,PS2,2005,Shooter,Midway Games,0.22,0.17,0,0.06,0.45,75,37,8.4,52,Midway Studios - Austin,M,Sony,,,
World Stadium 2,PS,1998,Sports,Namco Bandai Games,0,0,0.42,0.03,0.45,,,,,,,Sony,,,
NHL 2005,PS2,2004,Sports,Electronic Arts,0.22,0.17,0,0.06,0.45,75,21,8.3,23,EA Sports,E,Sony,,,
The New York Times Crosswords,DS,2007,Puzzle,Majesco Entertainment,0.42,0,0,0.03,0.45,79,15,6.7,6,BudCat,T,Nintendo,,,
Karaoke Revolution Presents American Idol Encore,Wii,2008,Misc,Konami Digital Entertainment,0.42,0,0,0.03,0.45,,,7.8,21,Blitz Games,E,Nintendo,,,
Barbie as The Island Princess,Wii,2007,Adventure,Activision,0.42,0,0,0.03,0.45,,,tbd,,"Human Soft, Ivolgamus",E,Nintendo,,,
Lego Batman 3: Beyond Gotham,3DS,2014,Action,Warner Bros. Interactive Entertainment,0.21,0.2,0,0.04,0.45,,,6.4,7,TT Games,E10+,Nintendo,,,
iCarly,Wii,2009,Adventure,Activision,0.42,0,0,0.03,0.45,,,tbd,,Blitz Games,E,Nintendo,,,
Star Wars Jedi Knight: Jedi Academy,XB,2003,Shooter,Activision,0.34,0.1,0,0.02,0.45,76,30,8.7,30,Vicarious Visions,T,Microsoft,,,
Phoenix,2600,1981,Simulation,Atari,0.42,0.02,0,0,0.45,,,,,,,Atari,,,
Dynasty Warriors: Strikeforce,PSP,2009,Action,Ubisoft Annecy,0.03,0.02,0.38,0.02,0.45,65,28,6.8,10,Omega Force,T,Sony,,,
Brain Challenge,DS,2008,Misc,Ubisoft,0.41,0,0,0.03,0.45,68,7,7,4,Ubisoft,E,Nintendo,,,
Command & Conquer: Red Alert 3,X360,2008,Strategy,Electronic Arts,0.18,0.23,0,0.05,0.45,,,,,,,Microsoft,,,
Enemy Territory: Quake Wars,X360,2008,Shooter,Activision,0.3,0.11,0,0.04,0.45,69,54,7.3,26,Nerve Software,T,Microsoft,,,
Major League Baseball 2K11,X360,2011,Sports,Take-Two Interactive,0.4,0.03,0,0.03,0.45,69,27,6.8,24,Visual Concepts,E,Microsoft,,,
Harvest Moon DS (US sales),DS,2005,Simulation,Rising Star Games,0.4,0.05,0,0,0.45,,,,,,,Nintendo,,,
Apocalypse,PS,1998,Action,Activision,0.25,0.17,0,0.03,0.45,,,,,,,Sony,,,
ATV Offroad Fury Pro,PSP,2006,Racing,Sony Computer Entertainment,0.37,0.03,0,0.04,0.45,76,32,tbd,,"Climax Group, Climax Studios",E,Sony,,,
Burnout Dominator,PSP,2007,Racing,Electronic Arts,0.02,0.38,0.01,0.05,0.45,76,23,8.2,27,Criterion Games,E10+,Sony,,,
Yu-Gi-Oh! Destiny Board Traveler,GBA,2004,Misc,Konami Digital Entertainment,0.32,0.12,0,0.01,0.45,,,,,,,Nintendo,,,
God Eater 2,PSV,2013,Role-Playing,Namco Bandai Games,0,0,0.45,0,0.45,,,,,,,Sony,,,
Scooby-Doo! and the Spooky Swamp,Wii,2010,Action,Warner Bros. Interactive Entertainment,0.29,0.13,0,0.04,0.45,,,,,,,Nintendo,,,
Crash of the Titans,Wii,2007,Action,Vivendi Games,0.39,0.02,0,0.03,0.45,69,16,5.8,22,Radical Entertainment,E10+,Nintendo,,,
World Soccer Winning Eleven 5 Final Evolution,PS2,2001,Sports,Konami Digital Entertainment,0,0,0.45,0,0.45,,,,,,,Sony,,,
Red Faction: Armageddon,PS3,2011,Shooter,THQ,0.2,0.15,0.03,0.07,0.45,71,52,7.3,58,Volition Inc.,M,Sony,,,
Sphinx and the Cursed Mummy,PS2,2003,Action,THQ,0.22,0.17,0,0.06,0.45,,,,,,,Sony,,,
Fatal Fury 2,SNES,1993,Fighting,Takara,0,0,0.45,0,0.45,,,,,,,Nintendo,,,
Rampage World Tour,N64,1998,Action,GT Interactive,0.36,0.08,0,0.01,0.45,,,,,,,Nintendo,,,
Pokemon Puzzle League,N64,2000,Puzzle,Nintendo,0.36,0.08,0,0.01,0.45,,,,,,,Nintendo,,,
PES 2009: Pro Evolution Soccer,Wii,2009,Sports,Konami Digital Entertainment,0.09,0.26,0.05,0.05,0.45,,,,,,,Nintendo,,,
Despicable Me: The Game - Minion Mayhem,DS,2010,Puzzle,D3Publisher,0.37,0.05,0,0.03,0.45,,,,,,,Nintendo,,,
Lego Batman 3: Beyond Gotham,WiiU,2014,Action,Warner Bros. Interactive Entertainment,0.21,0.21,0,0.04,0.45,,,7,20,TT Games,E10+,Nintendo,,,
Tekken Advance,GBA,2001,Fighting,Infogrames,0.32,0.12,0,0.01,0.45,82,14,8.2,13,Eighting/Raizing,T,Nintendo,,,
Shin Megami Tensei: Persona 3,PS2,2006,Role-Playing,Tecmo Koei,0.22,0.03,0,0.2,0.45,86,52,8.4,116,Atlus Co.,M,Sony,,,
Persona,PS,1995,Role-Playing,Atlus,0,0,0.42,0.03,0.45,,,,,,,Sony,,,
Hot Wheels: Stunt Track Challenge,GBA,2004,Racing,THQ,0.32,0.12,0,0.01,0.45,,,tbd,,Climax Group,E,Nintendo,,,
My Fashion Studio,DS,2007,Misc,Ubisoft,0.41,0,0,0.03,0.45,,,6.8,6,505 Games,E,Nintendo,,,
Maze Craze: A Game of Cops 'n Robbers,2600,N/A,Action,Atari,0.42,0.02,0,0,0.45,,,,,,,Atari,,,
Mobile Suit Gundam,PS,1995,Action,Namco Bandai Games,0,0,0.42,0.03,0.45,,,,,,,Sony,,,
TNA iMPACT!,X360,2008,Fighting,Midway Games,0.26,0.15,0,0.04,0.45,,,,,,,Microsoft,,,
Pirates of the Caribbean: At World's End,Wii,2007,Action,Disney Interactive Studios,0.39,0.02,0.01,0.04,0.45,53,17,7.2,17,Eurocom Entertainment Software,T,Nintendo,,,
Bee Movie Game,DS,2007,Action,Activision,0.41,0,0,0.03,0.45,58,9,tbd,,Vicarious Visions,E,Nintendo,,,
Sega Rally Revo,X360,2007,Racing,Sega,0.12,0.28,0,0.05,0.45,77,42,7.2,30,SEGA Racing Studio,E,Microsoft,,,
SingStar Take That,PS2,2009,Misc,Sony Computer Entertainment,0,0.06,0,0.39,0.45,,,,,,,Sony,,,
Final Fantasy Collection,PS,1999,Role-Playing,Square,0,0,0.42,0.03,0.45,,,,,,,Sony,,,
Disney Sing It! High School Musical 3: Senior Year,PS2,2008,Misc,Disney Interactive Studios,0.09,0.02,0,0.34,0.45,,,,,,,Sony,,,
Samurai Warriors: Xtreme Legends,PS2,2004,Action,Tecmo Koei,0.04,0.03,0.36,0.01,0.45,72,17,8.6,13,Omega Force,T,Sony,,,
LEGO Rock Band,DS,2009,Misc,Warner Bros. Interactive Entertainment,0.32,0.09,0,0.04,0.45,80,8,7.5,6,Backbone Entertainment,E,Nintendo,,,
NHL FaceOff,PS,1994,Sports,Sony Computer Entertainment,0.25,0.17,0,0.03,0.45,,,,,,,Sony,,,
WWE WrestleMania 21,XB,2005,Fighting,THQ,0.34,0.1,0,0.02,0.45,56,48,6.9,47,Studio Gigante,T,Microsoft,,,
NBA Live 2005,GC,2004,Sports,Electronic Arts,0.35,0.09,0,0.01,0.45,83,17,6.7,7,EA Canada,E,Nintendo,,,
F.E.A.R. 3,PS3,2011,Shooter,Warner Bros. Interactive Entertainment,0.21,0.16,0.01,0.07,0.45,74,48,7.1,103,Day 1 Studios,M,Sony,,,
Defender II,2600,1987,Shooter,Atari,0.42,0.02,0,0,0.45,,,,,,,Atari,,,
WWE Day of Reckoning,GC,2004,Fighting,THQ,0.35,0.09,0,0.01,0.45,79,47,9.1,81,Yuke's,T,Nintendo,,,
NBA Live 10,X360,2009,Sports,Electronic Arts,0.4,0.02,0,0.03,0.45,80,40,7.7,37,EA Canada,E,Microsoft,,,
ATV Quad Power Racing 2,XB,2003,Racing,Acclaim Entertainment,0.36,0.07,0,0.01,0.45,68,17,tbd,,Climax Group,E,Microsoft,,,
Harry Potter and the Deathly Hallows - Part 1,X360,2010,Action,Electronic Arts,0.21,0.2,0,0.04,0.45,38,42,5,46,EA Bright Light,T,Microsoft,,,
Walt Disney World Quest: Magical Racing Tour,PS,2000,Racing,Eidos Interactive,0.25,0.17,0,0.03,0.45,,,,,,,Sony,,,
Pro Evolution Soccer 2017,PS4,2016,Sports,Konami Digital Entertainment,0.02,0.27,0.11,0.05,0.45,85,61,7.6,478,Konami,E,Sony,,,
Sled Storm,PS2,2002,Racing,Electronic Arts,0.22,0.17,0,0.06,0.45,73,22,7.7,6,Electronic Arts,T,Sony,,,
Vandal Hearts,PS,1996,Role-Playing,Konami Digital Entertainment,0.14,0.09,0.19,0.03,0.45,,,,,,,Sony,,,
Dead or Alive: Dimensions,3DS,2011,Fighting,Ubisoft Annecy,0.13,0.21,0.07,0.03,0.45,79,62,8.2,113,Team Ninja,T,Nintendo,,,
Disney Infinity 3.0,PS3,2015,Action,Disney Interactive Studios,0.16,0.21,0,0.07,0.45,,,,,,,Sony,,,
We Sing Encore,Wii,2010,Misc,Nordic Games,0,0.39,0,0.06,0.45,,,,,,,Nintendo,,,
Wolfenstein: The New Order,PC,2014,Shooter,Bethesda Softworks,0.13,0.29,0,0.03,0.45,81,23,8.2,1647,MachineGames,M,PC,,,
Deadpool,PS3,2013,Action,Activision,0.23,0.14,0,0.08,0.45,61,27,7.2,221,High Moon Studios,M,Sony,,,
Jawbreaker,2600,1981,Action,Tigervision,0.42,0.03,0,0,0.45,,,,,,,Atari,,,
Scooby-Doo! Mystery Mayhem,PS2,2004,Action,THQ,0.22,0.17,0,0.06,0.45,,,,,,,Sony,,,
Watch Dogs,PC,2014,Action,Ubisoft,0.15,0.26,0,0.03,0.45,77,18,4.7,3288,Ubisoft Montreal,M,PC,,,
Mario Golf: Advance Tour,GBA,2004,Sports,Nintendo,0.32,0.12,0,0.01,0.45,84,38,8.6,14,Camelot Software Planning,E,Nintendo,,,
Celebrity Sports Showdown,Wii,2008,Sports,Electronic Arts,0.18,0.22,0,0.05,0.45,50,12,4.6,18,EA Canada,E,Nintendo,,,
F.E.A.R. 3,X360,2011,Shooter,Warner Bros. Interactive Entertainment,0.3,0.11,0.01,0.04,0.45,75,71,7,139,Day 1 Studios,M,Microsoft,,,
Disney Guilty Party,Wii,2010,Misc,Disney Interactive Studios,0.42,0,0,0.03,0.45,78,13,8,4,Wideload Games Inc.,E,Nintendo,,,
Silent Hill: Homecoming,X360,N/A,Action,Konami Digital Entertainment,0.25,0.15,0,0.04,0.45,70,54,6.9,180,Double Helix Games,M,Microsoft,,,
Yu-Gi-Oh! Capsule Monster Coliseum,PS2,2004,Misc,Konami Digital Entertainment,0.22,0.17,0,0.06,0.44,,,,,,,Sony,,,
Warhammer 40,000: Space Marine,PS3,2011,Shooter,THQ,0.13,0.23,0,0.08,0.44,70,46,7.4,162,Relic,#N/A,,,
Discovery Kids: Kitten Corner,DS,2009,Simulation,505 Games,0.42,0,0,0.03,0.44,,,tbd,,505 Games,E,Nintendo,,,
Rock Band Country Track Pack,Wii,2009,Misc,MTV Games,0.41,0,0,0.03,0.44,,,tbd,,Harmonix Music Systems,E10+,Nintendo,,,
Major League Baseball 2K6,PS2,2006,Sports,Spike,0.37,0.01,0,0.06,0.44,70,19,5.2,27,Kush Games,E,Sony,,,
Brunswick Pro Bowling,X360,2010,Sports,505 Games,0.38,0.04,0,0.03,0.44,44,4,tbd,,"Farsight Studios, Crave",E,Microsoft,,,
Jampack Volume 13 (RP-M),PS2,2005,Misc,Sony Computer Entertainment,0.37,0.01,0,0.06,0.44,,,,,,,Sony,,,
World Soccer Winning Eleven 9,XB,2005,Sports,Konami Digital Entertainment,0.06,0.33,0.02,0.03,0.44,89,19,7.9,9,KCET,E,Microsoft,,,
NBA Live 2000,N64,1999,Sports,Electronic Arts,0.42,0.02,0,0,0.44,,,,,,,Nintendo,,,
Teenage Mutant Ninja Turtles 2: Battle Nexus,PS2,2004,Action,Konami Digital Entertainment,0.22,0.17,0,0.06,0.44,47,25,7.8,12,KCE Studios,T,Sony,,,
SpongeBob SquarePants: Lights,Camera,Pants!,PS2,2005,Misc,THQ,0.37,0.01,0,0.06,0.44,,,,,#N/A,,,
The Thing,PS2,2002,Adventure,Vivendi Games,0.22,0.17,0,0.06,0.44,78,27,7.4,41,Computer Artworks,M,Sony,,,
Van Helsing,PS2,2004,Action,Activision,0.22,0.17,0,0.06,0.44,64,41,8.5,19,Saffire,T,Sony,,,
Mario Tennis Ultra Smash,WiiU,2015,Sports,Nintendo,0.13,0.15,0.14,0.02,0.44,58,58,5.3,133,"Nintendo, Camelot Software Planning",E,Nintendo,,,
Virtua Tennis 4,PS3,2011,Sports,Sega,0.09,0.24,0.03,0.08,0.44,69,49,6.6,28,Sega,E,Sony,,,
X-Men Legends II: Rise of Apocalypse,XB,2005,Role-Playing,Activision,0.3,0.12,0,0.02,0.44,84,50,8.7,199,Raven Software,T,Microsoft,,,
Naruto Shippuden: Ultimate Ninja Storm Generations,X360,2012,Fighting,Namco Bandai Games,0.26,0.14,0.01,0.04,0.44,74,35,7.2,47,"CyberConnect2, Racjin",T,Microsoft,,,
Wolfenstein: The New Order,PS3,2014,Shooter,Bethesda Softworks,0.14,0.21,0.02,0.07,0.44,,,7.1,115,MachineGames,M,Sony,,,
Skylanders: Trap Team,PS4,2014,Action,Activision,0.19,0.18,0,0.07,0.44,78,46,5.6,32,Toys for Bob,E10+,Sony,,,
Worms: Open Warfare 2,PSP,2007,Strategy,THQ,0.04,0.26,0,0.14,0.44,80,26,8.1,25,"Team 17, Two Tribes",E10+,Sony,,,
Transformers: Revenge of the Fallen (Wii & PS2 Version),DS,2009,Action,Activision,0.26,0.14,0,0.04,0.44,,,,,,,Nintendo,,,
Spawn: Armageddon,PS2,2003,Action,Electronic Arts,0.22,0.17,0,0.06,0.44,56,33,7.4,21,Point of View,M,Sony,,,
The Godfather (US sales),XB,2006,Action,Electronic Arts,0.33,0.1,0,0.02,0.44,,,,,,,Microsoft,,,
Sid Meier's Civilization Revolution,DS,2008,Strategy,Take-Two Interactive,0.37,0.03,0.02,0.03,0.44,80,26,7.7,21,Firaxis Games,E10+,Nintendo,,,
World Stadium EX,PS,1996,Sports,Namco Bandai Games,0,0,0.41,0.03,0.44,,,,,,,Sony,,,
Tiger Woods PGA Tour 2003,XB,2002,Sports,Electronic Arts,0.35,0.08,0,0.01,0.44,88,14,8.5,11,EA Sports,E,Microsoft,,,
Battlefield 2: Modern Combat,PS2,2005,Shooter,Electronic Arts,0.37,0.01,0,0.06,0.44,80,42,8.5,65,Digital Illusions,T,Sony,,,
50 Cent: Bulletproof,XB,2005,Action,Vivendi Games,0.33,0.1,0,0.02,0.44,50,14,5.9,21,Genuine Games,M,Microsoft,,,
Densetsu no Stafi 2,GBA,2003,Platform,Nintendo,0,0,0.43,0.01,0.44,,,,,,,Nintendo,,,
Independence Day,PS,1997,Shooter,Fox Interactive,0.25,0.17,0,0.03,0.44,,,,,,,Sony,,,
Tony Hawk's Proving Ground,PS3,2007,Sports,Activision,0.36,0.04,0,0.04,0.44,73,36,6.6,17,Neversoft Entertainment,T,Sony,,,
Chocobo Racing,PS,1999,Racing,SquareSoft,0.07,0.05,0.3,0.03,0.44,,,,,,,Sony,,,
Disney Infinity 2.0: Marvel Super Heroes,XOne,2014,Action,Disney Interactive Studios,0.25,0.15,0,0.04,0.44,,,,,,,Microsoft,,,
LEGO Star Wars II: The Original Trilogy,XB,2006,Action,LucasArts,0.33,0.1,0,0.02,0.44,85,27,8.6,15,Traveller's Tales,E10+,Microsoft,,,
Viking: Battle for Asgard,X360,2008,Action,Sega,0.16,0.23,0,0.05,0.44,68,67,8,88,Creative Assembly,M,Microsoft,,,
Petz: Catz 2,Wii,2007,Simulation,Ubisoft,0.4,0.01,0,0.03,0.44,,,5.8,6,Ubisoft,E,Nintendo,,,
Dragon Quest Heroes: Rocket Slime,DS,2005,Action,Square Enix,0.13,0,0.31,0.01,0.44,83,41,7.6,45,"Square Enix, TOSE",E,Nintendo,,,
Gundam SEED: Federation vs. Z.A.F.T.,PS2,2005,Shooter,Namco Bandai Games,0,0,0.44,0,0.44,,,,,,,Sony,,,
Ms. Pac-Man Maze Madness,PS,2000,Puzzle,Namco Bandai Games,0.25,0.17,0,0.03,0.44,,,,,,,Sony,,,
Blood Omen: Legacy of Kain,PS,1996,Role-Playing,Crystal Dynamics,0.25,0.17,0,0.03,0.44,,,,,,,Sony,,,
